Job_ID,Job_Title,Location,Company_ID,Company_Name,Industry,Employee_Count,LinkedIn_Followers,Class,Detail_ID,Emp_level,Total_Applicants
J50,Senior Engineer - Production,"Tiruvallur, Tamil du,India",C37,BorgWarner,Automotive  ,500,266728,Class-1,45,NULL,177
J51,Data Alyst,"Mumbai, Maharashtra,India",C38,UBS,Fincial Services,10000,1205434,Class-1,46,NULL,184
J52,Business Alyst,"Mumbai, Maharashtra,India",C39,TechSevin Solution LLP,Information Technology & Services,10001,2095,Class-1,40,NULL,200
J53,Data Alyst - II,"Delhi, Delhi,India",C40,Chegg India,E-learning,10001,54333,Class-1,13,Entry level,200
J54,Data Governce Lead,"Bengaluru, Kartaka,India",C41,Dover India,Machinery  ,10000,53466,Class-1,47,Mid-Senior level,98
J55,Data Alyst,"Surat, Gujarat,India",C42,AFIV DATA OUTSOURCING,Information Technology & Services,10001,14591,Class-1,40,NULL,200
J56,Advanced Data Engineer,"Bengaluru, Kartaka,India",C43,Honeywell,Electrical & Electronic Manufacturing,50,2221925,Class-3,6,Associate,51
J57,Business Alyst,"Jaipur, Rajasthan,India",C44,E Connect Solutions Pvt. Ltd,Information Technology & Services,10001,4438,Class-1,30,Mid-Senior level,200
J58,Business Alyst,"Bangalore Urban, Kartaka,India",C45,vi,Fincial Services,200,163249,Class-1,10,Associate,200
J59,People Data Alyst,"Bengaluru, Kartaka,India",C46,AVEVA ,Computer Software,200,220860,Class-1,13,Entry level,200
J6,Alyst,"Hyderabad, Telangana,India",C5,Novartis India,Pharmaceuticals  ,10001,111727,Class-1,6,Associate,51
J60,Excel Forecasting,"Noida, Uttar Pradesh,India",C47,WNS,Outsourcing/Offshoring,10001,499613,Class-1,30,Mid-Senior level,200
J61,Data Alyst | WFH,Greater Kolkata Area,C21,Michael Page,Staffing & Recruiting,10001,3007322,Class-3,48,Entry level,8
J62,Business Alyst,"Pune, Maharashtra,India",C48,Simplify Healthcare,Information Technology & Services,10001,62475,Class-1,13,Entry level,200
J63,Project Engineer,"Gurgaon, Harya,India",C49,Taurus Contractors Pvt Ltd ,Oil & Energy,10001,28308,Class-1,30,Mid-Senior level,200
